InvoiceLineId  Name                                                          ArtistName                                                  
70             Radio GA GA                                                   Queen                                                       

71             I'm Going Slightly Mad                                        Queen                                                       

72             Sure Know Something                                           Kiss                                                        

73             God Of Thunder                                                Kiss                                                        

74             Valentino's                                                   Spyro Gyra                                                  

75             Believe                                                       Spyro Gyra                                                  

76             As We Sleep                                                   Spyro Gyra                                                  

77             J Squared                                                     Spyro Gyra                                                  

78             Maria                                                         Green Day                                                   

79             Longview                                                      Green Day                                                   

80             Basket Case                                                   Green Day                                                   

81             She                                                           Green Day                                                   

82             Geek Stink Breath                                             Green Day                                                   

83             Stuck With Me                                                 Green Day                                                   

84             Nice Guys Finish Last                                         Green Day                                                   

85             Macy's Day Parade                                             Green Day                                                   

86             Don't You Cry                                                 David Coverdale                                             

87             Living On Love                                                David Coverdale                                             

88             Wherever You May Go                                           David Coverdale                                             

89             Diga Lá, Coração                                              Gonzaguinha                                                 

90             Comportamento Geral                                           Gonzaguinha                                                 

91             Podres Poderes                                                Chico Buarque                                               

92             Queixa                                                        Chico Buarque                                               

93             Ando Meio Desligado                                           Os Mutantes                                                 

94             Vida De Cachorro                                              Os Mutantes                                                 

95             Meu Refrigerador Não Funciona                                 Os Mutantes                                                 

96             Smoke On The Water                                            Deep Purple                                                 

97             Trampled Under Foot                                           Led Zeppelin                                                

98             União Da Ilha                                                 Various Artists                                             

99             Put Your Lights On                                            Santana                                                     

100            Primavera                                                     Santana                                                     

101            Seis Da Tarde                                                 Ed Motta                                                    

102            Compulsion                                                    Miles Davis                                                 

103            The Pan Piper                                                 Miles Davis                                                 

104            Jean Pierre (Live)                                            Miles Davis                                                 

105            Drum Boogie                                                   Gene Krupa                                                  

106            Lemon Drop                                                    Gene Krupa                                                  

107            Showcase                                                      Gene Krupa                                                  

108            Como É Duro Trabalhar                                         Toquinho & Vinícius                                         

109            Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)                  Various Artists                                             

110            As Rosas Não Falam (Beth Carvalho)                            Various Artists                                             

111            Green River                                                   Creedence Clearwater Revival                                

112            Someday Never Comes                                           Creedence Clearwater Revival                                

113            Walking On The Water                                          Creedence Clearwater Revival                                

114            Suzie-Q, Pt. 2                                                Creedence Clearwater Revival                                

115            Good Golly Miss Molly                                         Creedence Clearwater Revival                                

116            Wrote A Song For Everyone                                     Creedence Clearwater Revival                                

117            Cotton Fields                                                 Creedence Clearwater Revival                                

118            Don't Look Now                                                Creedence Clearwater Revival                                

119            Before You Accuse Me                                          Creedence Clearwater Revival                                

120            Pagan Baby                                                    Creedence Clearwater Revival                                

121            Born To Move                                                  Creedence Clearwater Revival                                

122            Brasil                                                        Cássia Eller                                                

123            Coroné Antonio Bento                                          Cássia Eller                                                

124            Música Urbana 2                                               Cássia Eller                                                

125            Woman Of The World (Ao Vivo)                                  Cássia Eller                                                

126            Smells Like Teen Spirit (Ao Vivo)                             Cássia Eller                                                

127            Admirável Gado Novo                                           Cássia Eller                                                

128            Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)            Cássia Eller                                                

129            Drifter                                                       Deep Purple                                                 

130            Child In Time                                                 Deep Purple                                                 

131            No No No                                                      Deep Purple                                                 

132            Knocking At Your Back Door                                    Deep Purple                                                 

133            The Unwritten Law                                             Deep Purple                                                 

134            Maybe I'm A Leo                                               Deep Purple                                                 

135            Vavoom : Ted The Mechanic                                     Deep Purple                                                 

136            Hey Cisco                                                     Deep Purple                                                 

137            Fortuneteller                                                 Deep Purple                                                 

138            High Ball Shooter                                             Deep Purple                                                 

139            A Twist In The Tail                                           Deep Purple                                                 

140            Animal                                                        Def Leppard                                                 

141            Hysteria                                                      Def Leppard                                                 

142            Baltimore, DC                                                 Dennis Chambers                                             

143            Esquinas                                                      Djavan                                                      

144            Açai                                                          Djavan                                                      

145            Um Amor Puro                                                  Djavan                                                      

146            Fascinação                                                    Elis Regina                                                 

147            Sunshine Of Your Love                                         Eric Clapton                                                

148            Lay Down Sally                                                Eric Clapton                                                

149            Tears In Heaven                                               Eric Clapton                                                

150            Naked In Front Of The Computer                                Faith No More                                               

151            Helpless                                                      Faith No More                                               

152            Mouth To Mouth                                                Faith No More                                               

153            She Loves Me Not                                              Faith No More                                               

154            Paths Of Glory                                                Faith No More                                               

155            Pristina                                                      Faith No More                                               

156            Caffeine                                                      Faith No More                                               

157            RV                                                            Faith No More                                               

158            Everything's Ruined                                           Faith No More                                               

159            A Small Victory                                               Faith No More                                               

160            Easy                                                          Faith No More                                               

161            The Gentle Art Of Making Enemies                              Faith No More                                               

162            Ugly In The Morning                                           Faith No More                                               

163            What A Day                                                    Faith No More                                               

164            From Out Of Nowhere                                           Faith No More                                               

165            Underwater Love                                               Faith No More                                               

166            Falamansa Song                                                Falamansa                                                   

167            Avisa                                                         Falamansa                                                   

168            Desaforo                                                      Falamansa                                                   

169            The Last Song                                                 Foo Fighters                                                

170            What If I Do?                                                 Foo Fighters                                                

171            Virginia Moon                                                 Foo Fighters                                                

172            Times Like These                                              Foo Fighters                                                

173            Burn Away                                                     Foo Fighters                                                

174            See You                                                       Foo Fighters                                                

175            I Get A Kick Out Of You                                       Frank Sinatra                                               

176            Fly Me To The Moon                                            Frank Sinatra                                               

177            Mack The Knife                                                Frank Sinatra                                               

178            Funk Hum                                                      Funk Como Le Gusta                                          

179            Forty Days Instrumental                                       Funk Como Le Gusta                                          

180            Pau-De-Arara                                                  Gilberto Gil                                                

181            Stir It Up (Live)                                             Gilberto Gil                                                

182            A Novidade (Live)                                             Gilberto Gil                                                

183            Realce                                                        Eric Clapton                                                

184            Aquele Abraço                                                 Eric Clapton                                                

185            Re-Align                                                      Godsmack                                                    

186            Holiday                                                       Green Day                                                   

187            Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody  Green Day                                                   
                Likes You / Rock And Roll Girlfriend / We're Coming Home Ag                                                              
               ain                                                                                                                       

188            Right Next Door to Hell                                       Guns N' Roses                                               

189            Dust N' Bones                                                 Guns N' Roses                                               

190            Live and Let Die                                              Guns N' Roses                                               

191            Perfect Crime                                                 Guns N' Roses                                               

192            Bad Obsession                                                 Guns N' Roses                                               

193            Double Talkin' Jive                                           Guns N' Roses                                               

194            The Garden                                                    Guns N' Roses                                               

195            Don't Damn Me                                                 Guns N' Roses                                               

196            Dead Horse                                                    Guns N' Roses                                               

197            Yesterdays                                                    Guns N' Roses                                               

198            Breakdown                                                     Guns N' Roses                                               

199            Estranged                                                     Guns N' Roses                                               

200            Colibri                                                       Incognito                                                   

201            L'Arc En Ciel De Miles                                        Incognito                                                   

202            Millenium                                                     Incognito                                                   

203            These Colours Don't Run                                       Iron Maiden                                                 

204            For the Greater Good of God                                   Iron Maiden                                                 

205            Prowler                                                       Iron Maiden                                                 

206            Run To The Hilss                                              Iron Maiden                                                 

207            Can I Play With Madness                                       Iron Maiden                                                 

208            Heaven Can Wait                                               Iron Maiden                                                 

209            Blood Brothers                                                Iron Maiden                                                 

210            The Thin Line Between Love & Hate                             Iron Maiden                                                 

211            Gates Of Tomorrow                                             Iron Maiden                                                 

212            Fear Is The Key                                               Iron Maiden                                                 

213            01 - Prowler                                                  Iron Maiden                                                 

214            The Ides Of March                                             Iron Maiden                                                 

215            Drifter                                                       Iron Maiden                                                 

216            The Number Of The Beast                                       Iron Maiden                                                 

217            Phantom Of The Opera                                          Iron Maiden                                                 

218            Afraid To Shoot Strangers                                     Iron Maiden                                                 

219            The Trooper                                                   Iron Maiden                                                 

220            Run Silent Run Deep                                           Iron Maiden                                                 

221            Still Life                                                    Iron Maiden                                                 

222            Back in the Village                                           Iron Maiden                                                 

223            Blood Brothers                                                Iron Maiden                                                 

224            The Number Of The Beast                                       Iron Maiden                                                 

225            The Prophecy                                                  Iron Maiden                                                 

226            Hallowed Be Thy Name                                          Iron Maiden                                                 

227            Invaders                                                      Iron Maiden                                                 

228            Run to the Hills                                              Iron Maiden                                                 

229            The Prisoner                                                  Iron Maiden                                                 

230            Lord Of The Flies                                             Iron Maiden                                                 

231            Fortunes Of War                                               Iron Maiden                                                 

232            The Aftermath                                                 Iron Maiden                                                 

233            Blood On The World's Hands                                    Iron Maiden                                                 

234            2 A.M.                                                        Iron Maiden                                                 

235            Lightning Strikes Twice                                       Iron Maiden                                                 

236            Don't Look To The Eyes Of A Stranger                          Iron Maiden                                                 

237            Night Train                                                   James Brown                                                 

238            It's A Man's Man's Man's World                                James Brown                                                 

239            Hey America                                                   James Brown                                                 

240            Get Up Offa That Thing                                        James Brown                                                 

241            When You Gonna Learn (Digeridoo)                              Jamiroquai                                                  

242            Whatever It Is, I Just Can't Stop                             Jamiroquai                                                  

243            Black Capricorn Day                                           Jamiroquai                                                  

244            Were Do We Go From Here                                       Jamiroquai                                                  

245            Light Years                                                   Jamiroquai                                                  

246            Morning Glory                                                 Jamiroquai                                                  

247            Get What You Need                                             JET                                                         

248            Take It Or Leave It                                           JET                                                         

249            Can You See Me                                                Jimi Hendrix                                                

250            Stone Free                                                    Jimi Hendrix                                                

251            Satch Boogie                                                  Joe Satriani                                                

252            Salve Simpatia                                                Jorge Ben                                                   

253            Filho Maravilha                                               Jorge Ben                                                   

254            Dance Enquanto é Tempo                                        Jota Quest                                                  

255            Voce Inteira                                                  João Suplicy                                                

256            Enquanto O Dia Não Vem                                        João Suplicy                                                

257            Turbo Lover                                                   Judas Priest                                                

258            Plaster Caster                                                Kiss                                                        

259            Every Time I Look At You                                      Kiss                                                        

260            Dazed And Confused                                            Led Zeppelin                                                

261            Walter's Walk                                                 Led Zeppelin                                                

262            Dancing Days                                                  Led Zeppelin                                                

263            All My Love                                                   Led Zeppelin                                                

264            Your Time Is Gonna Come                                       Led Zeppelin                                                

265            Black Mountain Side                                           Led Zeppelin                                                

266            Communication Breakdown                                       Led Zeppelin                                                

267            How Many More Times                                           Led Zeppelin                                                

268            What Is And What Should Never Be                              Led Zeppelin                                                

269            Thank You                                                     Led Zeppelin                                                

270            Living Loving Maid (She's Just A Woman)                       Led Zeppelin                                                

271            Moby Dick                                                     Led Zeppelin                                                

272            Immigrant Song                                                Led Zeppelin                                                

273            Out On The Tiles                                              Led Zeppelin                                                

274            Bron-Y-Aur Stomp                                              Led Zeppelin                                                

275            Down By The Seaside                                           Led Zeppelin                                                

276            Boogie With Stu                                               Led Zeppelin                                                

277            For Your Life                                                 Led Zeppelin                                                

278            Hots On For Nowhere                                           Led Zeppelin                                                

279            Dazed And Confused                                            Led Zeppelin                                                

280            L'Avventura                                                   Legião Urbana                                               

281            Soul Parsifal                                                 Legião Urbana                                               

282            Quando Você Voltar                                            Legião Urbana                                               

283            Tempo Perdido                                                 Legião Urbana                                               

284            Meninos E Meninas                                             Legião Urbana                                               

285            Are You Gonna Go My Way                                       Lenny Kravitz                                               

286            Mr. Cab Driver                                                Lenny Kravitz                                               

287            Believe                                                       Lenny Kravitz                                               

288            Condição                                                      Lulu Santos                                                 

289            Aquilo                                                        Lulu Santos                                                 

290            Assaltaram A Gramática                                        Lulu Santos                                                 

291            Waterhole (Expresso Bongo)                                    Marillion                                                   

292            Tempos Modernos                                               Marisa Monte                                                

293            Dança Da Solidão                                              Marisa Monte                                                

294            When I Had Your Love                                          Marvin Gaye                                                 

295            Save The Children                                             Marvin Gaye                                                 

296            Down by the Sea                                               Men At Work                                                 

297            The Unforgiven                                                Metallica                                                   

298            Helpless                                                      Metallica                                                   

299            Stone Cold Crazy                                              Metallica                                                   

300            Motorbreath                                                   Metallica                                                   

301            2 X 4                                                         Metallica                                                   

302            Master Of Puppets                                             Metallica                                                   

303            The Thing That Should Not Be                                  Metallica                                                   

304            Welcome Home (Sanitarium)                                     Metallica                                                   

305            Leper Messiah                                                 Metallica                                                   

306            Damage Inc.                                                   Metallica                                                   

307            The Memory Remains                                            Metallica                                                   

308            The Unforgiven II                                             Metallica                                                   

309            Slither                                                       Metallica                                                   

310            Bad Seed                                                      Metallica                                                   

311            Attitude                                                      Metallica                                                   

312            For Whom The Bell Tolls                                       Metallica                                                   

313            Creeping Death                                                Metallica                                                   

314            Some Kind Of Monster                                          Metallica                                                   

315            Shoot Me Again                                                Metallica                                                   

316            All Within My Hands                                           Metallica                                                   

317            Harvester Of Sorrow                                           Metallica                                                   

318            The Duke                                                      Miles Davis                                                 

319            Lament                                                        Miles Davis                                                 

320            Coração De Estudante                                          Milton Nascimento                                           
